id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
1001,53,370,14,67.7,0,30,72,9,0,5,7,2,7,2,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(13,240,255)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1003,49,246,15,53.2,0,25,67,9,0,5,5,2,5,2,4,"rgb(66,146,198)","rgb(114,142,25)","rgb(227,149,95)","rgb(13,240,255)","rgb(104,25,142)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1005,75,586,34,55,0,36,56,14,0,8,8,8,5,2,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1007,68,284,24,49.9,0,32,60,5,0,7,6,6,4,2,4,"rgb(8,81,156)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1009,57,85,19,65.2,0,32,73,7,0,6,1,4,7,2,4,"rgb(33,113,181)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,188,200)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1011,85,724,39,57.7,29,37,64,18,1,8,8,8,5,7,8,"rgb(8,48,107)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,60,64)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1013,66,634,34,58.6,0,36,69,10,0,7,8,8,6,2,4,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1015,60,535,25,71.4,0,33,65,10,0,6,8,6,7,2,4,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1017,71,634,25,65,25,36,64,9,0,7,8,6,7,6,4,"rgb(8,81,156)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1019,72,153,29,47.9,26,31,68,9,0,7,3,7,4,6,4,"rgb(8,81,156)","rgb(161,200,36)","rgb(158,81,28)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1021,62,234,24,69.9,34,34,71,8,0,6,5,6,7,7,4,"rgb(33,113,181)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1023,56,471,30,70.1,0,36,66,11,1,6,7,7,7,2,8,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1025,56,613,31,79.2,0,35,66,8,1,6,8,7,8,2,8,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1027,61,405,23,74,30,32,62,8,1,6,7,5,8,7,8,"rgb(33,113,181)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,156,166)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1029,72,163,23,76.6,26,29,68,7,0,7,3,5,8,6,4,"rgb(8,81,156)","rgb(161,200,36)","rgb(158,81,28)","rgb(0,156,166)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1031,56,550,23,66.1,33,33,78,11,0,6,8,5,7,7,4,"rgb(33,113,181)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,156,166)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1033,54,444,24,69.5,0,36,68,7,0,5,7,6,7,2,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1035,60,276,37,57.1,25,33,57,12,0,6,6,8,5,6,4,"rgb(33,113,181)","rgb(91,114,20)","rgb(158,81,28)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1037,53,489,23,53.3,29,35,51,9,0,5,7,5,5,7,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1039,70,360,31,61.9,0,32,69,9,0,7,6,7,6,2,4,"rgb(8,81,156)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1041,61,474,25,63.2,0,35,65,10,0,6,7,6,6,2,4,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1043,55,146,19,78.1,32,29,74,8,0,5,3,4,8,7,4,"rgb(66,146,198)","rgb(161,200,36)","rgb(129,66,23)","rgb(0,188,200)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1045,59,463,24,49.2,0,33,64,11,0,6,7,6,4,2,4,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1047,83,1252,42,60.6,20,41,56,16,0,8,8,8,6,5,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(187,96,33)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1049,74,228,26,55.4,37,32,62,9,0,7,5,6,5,8,4,"rgb(8,81,156)","rgb(114,142,25)","rgb(100,51,18)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1051,54,433,16,47,24,29,63,10,0,5,7,2,3,5,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(187,96,33)","rgb(13,240,255)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)","rgb(128,128,128)"
1053,71,462,31,60.1,28,35,63,12,1,7,7,7,6,6,8,"rgb(8,81,156)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1055,61,470,25,80.4,28,33,72,12,1,6,7,6,8,6,8,"rgb(33,113,181)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,124,132)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)","rgb(128,128,128)"
1057,58,156,23,64,23,33,67,8,0,6,3,5,6,5,4,"rgb(33,113,181)","rgb(161,200,36)","rgb(187,96,33)","rgb(0,156,166)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
1059,76,237,29,64.4,0,30,68,10,0,8,5,7,6,2,4,"rgb(8,48,107)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)","rgb(128,128,128)"
